iter	Passed	Remaining
145	532	1291
146	536	1288
147	540	1285
148	543	1281
149	547	1277
150	551	1274
151	555	1270
152	558	1267
153	562	1263
154	565	1258
155	569	1255
156	572	1251
157	576	1247
158	580	1244
159	583	1240
160	587	1236
161	590	1232
162	594	1228
163	597	1225
164	601	1222
165	605	1218
166	608	1214
167	612	1210
168	616	1206
169	619	1203
170	623	1199
171	626	1195
172	630	1192
173	634	1188
174	638	1185
175	642	1182
176	646	1178
177	649	1175
178	653	1171
179	657	1168
180	661	1165
181	665	1162
182	669	1158
183	672	1155
184	676	1152
185	680	1149
186	684	1145
187	688	1142
188	692	1139
189	696	1135
190	699	1132
191	704	1129
192	708	1127
193	712	1123
194	716	1120
195	720	1117
196	723	1113
197	727	1109
198	731	1105
199	734	1102
200	738	1098
201	741	1094
202	745	1090
203	749	1087
204	752	1083
205	756	1079
206	759	1075
207	764	1072
208	767	1068
209	771	1065
210	774	1061
211	778	1058
212	782	1054
213	786	1050
214	789	1046
215	793	1043
216	797	1040
217	801	1036
218	804	1032
219	808	1029
220	812	1025
221	815	1021
222	819	1017
223	823	1014
224	826	1010
225	830	1006
226	833	1002
227	837	999
228	841	995
229	844	991
230	848	988
231	852	984
232	855	980
233	859	976
234	862	972
235	866	969
236	870	965
237	874	962
238	878	958
239	882	955
240	885	951
241	889	948
242	892	944
243	896	940
244	900	936
245	903	933
246	907	929
247	910	925
248	914	921
249	918	918
250	921	914
251	925	910
252	929	907
253	932	903
254	936	899
255	939	895
256	943	892
257	947	888
258	950	884
259	954	880
260	958	877
261	961	873
262	965	870
263	970	867
264	974	863
265	977	860
266	981	856
267	985	853
268	989	849
269	992	845
270	996	841
271	999	838
272	1003	834
273	1007	830
274	1010	827
275	1014	823
276	1018	820
277	1022	816
278	1025	812
279	1029	809
280	1033	805
281	1036	801
282	1040	797
283	1044	794
284	1047	790
285	1051	786
286	1054	782
287	1058	778
288	1061	775
289	1065	771
290	1068	767
291	1072	763
292	1076	760
293	1079	756
294	1083	752
295	1086	749
296	1090	745
297	1095	742
298	1098	738
299	1102	734
300	1105	731
301	1109	727
302	1112	723
303	1116	719
304	1120	716
305	1123	712
306	1127	708
307	1130	704
308	1148	709
309	1152	706
310	1156	702
311	1159	698
312	1163	695
313	1167	691
314	1170	687
315	1174	683
316	1178	680
317	1181	676
318	1185	672
319	1189	668
320	1192	665
321	1196	661
322	1200	657
323	1203	653
324	1207	649
325	1210	646
326	1214	642
327	1217	638
328	1221	634
329	1225	631
330	1229	627
331	1232	623
332	1236	619
333	1240	616
334	1243	612
335	1247	608
336	1250	605
337	1254	601
338	1258	597
339	1261	593
340	1265	589
341	1269	586
342	1272	582
343	1276	578
344	1279	575
345	1283	571
346	1287	567
347	1290	563
348	1294	560
349	1298	556
350	1302	552
351	1305	549
352	1309	545
353	1313	541
354	1316	537
355	1320	534
356	1323	530
357	1327	526
358	1331	522
359	1335	519
360	1338	515
361	1342	511
362	1346	507
363	1349	504
364	1353	500
365	1356	496
366	1360	493
367	1363	489
368	1367	485
369	1371	481
370	1375	478
371	1378	474
372	1382	470
373	1385	466
374	1389	463
375	1393	459
376	1396	455
377	1400	451
378	1404	448
379	1407	444
380	1411	440
381	1414	437
382	1418	433
383	1422	429
384	1425	425
385	1429	422
386	1433	418
387	1436	414
388	1440	411
389	1444	407
390	1447	403
391	1451	399
392	1455	396
393	1458	392
394	1462	388
395	1466	385
396	1469	381
397	1473	377
398	1478	374
399	1482	370
400	1485	366
401	1489	363
402	1493	359
403	1497	355
404	1500	352
405	1504	348
406	1508	344
407	1512	341
408	1516	337
409	1519	333
410	1523	329
411	1527	326
412	1530	322
413	1534	318
414	1538	315
415	1541	311
416	1545	307
417	1548	303
418	1552	300
419	1556	296
420	1559	292
421	1563	288
422	1567	285
423	1570	281
424	1574	277
425	1577	274
426	1581	270
427	1585	266
428	1588	262
429	1592	259
430	1595	255
431	1599	251
432	1602	248
433	1606	244
434	1610	240
435	1614	236
436	1617	233
437	1621	229
438	1625	225
439	1629	222
440	1632	218
441	1636	214
442	1639	211
443	1643	207
444	1647	203
445	1650	199
446	1654	196
447	1657	192
448	1661	188
449	1664	184
450	1668	181
451	1672	177
452	1675	173
453	1679	170
454	1682	166
455	1686	162
456	1690	159
457	1693	155
458	1697	151
459	1700	147
460	1704	144
461	1707	140
462	1711	136
463	1715	133
464	1718	129
465	1722	125
466	1725	121
467	1729	118
468	1733	114
469	1736	110
470	1740	107
471	1743	103
472	1747	99
473	1751	96
474	1754	92
475	1758	88
476	1762	84
477	1765	81
478	1769	77
479	1773	73
480	1776	70
481	1780	66
482	1783	62
483	1787	59
484	1791	55
485	1794	51
486	1795	47
487	1799	44
488	1802	40
489	1806	36
490	1810	33
491	1813	29
492	1817	25
493	1820	22
494	1824	18
495	1825	14
496	1829	11
497	1832	7
498	1836	3
499	1840	0
