iter	RMSE
240	44.66034874
241	44.30512315
242	44.04090296
243	43.67380011
244	43.31270211
245	43.04881856
246	42.89034251
247	42.53831369
248	42.45933079
249	42.32724401
250	41.9377208
251	41.50278044
252	41.43783379
253	41.17802709
254	40.81582385
255	40.51032814
256	40.38174997
257	40.12755171
258	39.89301208
259	39.77943953
260	39.54277318
261	39.20016685
262	38.87122673
263	38.57957358
264	38.51741236
265	38.23889365
266	38.02724493
267	37.72534567
268	37.53798866
269	37.48781298
270	37.39817472
271	37.24161468
272	37.19249684
273	36.99912511
274	36.93093892
275	36.88569539
276	36.81605688
277	36.58839228
278	36.37425672
279	36.08562032
280	35.86371082
281	35.80313075
282	35.73818934
283	35.4875667
284	35.44735063
285	35.21723944
286	35.12532234
287	35.05558499
288	35.01569935
289	34.66121902
290	34.49540643
291	34.45707287
292	34.41538717
293	34.22107814
294	34.05005436
295	33.85920548
296	33.71073311
297	33.5190695
298	33.39878341
299	33.22451131
300	33.01110235
301	32.93669129
302	32.69104191
303	32.47591885
304	32.34266399
305	32.23047241
306	32.03833134
307	31.9120468
308	31.68274243
309	31.55365827
310	31.35314795
311	31.21738587
312	31.18511467
313	30.99946594
314	30.97026615
315	30.73137228
316	30.7007069
317	30.47205432
318	30.36727894
319	30.17015835
320	30.014225
321	29.85609136
322	29.80051408
323	29.55397516
324	29.52456732
325	29.32148261
326	29.13359315
327	28.97325881
328	28.79407913
329	28.7638036
330	28.73527361
331	28.58392812
332	28.46326318
333	28.34660173
334	28.16741007
335	28.02656142
336	27.85029391
337	27.65732273
338	27.53088892
339	27.30953823
340	27.13343081
341	27.01425863
342	26.87003171
343	26.66043355
344	26.50066573
345	26.32651839
346	26.19876174
347	26.0732769
348	25.95260249
349	25.8549078
350	25.71567646
351	25.60809781
352	25.43049683
353	25.41057461
354	25.28482968
355	25.03374906
356	24.98666345
357	24.9392856
358	24.90011909
359	24.68961282
360	24.57245156
361	24.39818963
362	24.35033904
363	24.20705123
364	24.0380001
365	23.95729607
366	23.89072618
367	23.85279563
368	23.68902624
369	23.51649081
370	23.49786275
371	23.36034992
372	23.20057948
373	23.14615685
374	23.11629681
375	23.06492773
376	22.93191948
377	22.81047704
378	22.64814587
379	22.44238135
380	22.41622512
381	22.269816
382	22.13084909
383	22.01580263
384	21.86217266
385	21.76754897
386	21.71817021
387	21.61424197
388	21.49923318
389	21.42119805
390	21.39834061
391	21.3717197
392	21.29319897
393	21.12264006
394	21.10165251
395	21.01003357
396	20.84841036
397	20.69848344
398	20.61619241
399	20.4814176
400	20.44912147
401	20.26994936
402	20.15788695
403	20.13983987
404	20.00470873
405	19.90457902
406	19.87711469
407	19.85122882
408	19.73437192
409	19.57398035
410	19.46678883
411	19.36047539
412	19.23631308
413	19.14065652
414	19.05043476
415	19.02669864
416	18.96293988
417	18.87694807
418	18.85805404
419	18.80452406
420	18.77603857
421	18.69382853
422	18.5542941
423	18.53599502
424	18.48257562
425	18.3738984
426	18.27046975
427	18.11288028
428	18.02470489
429	18.00693982
430	17.92820961
431	17.83092184
432	17.73331132
433	17.71450085
434	17.62821826
435	17.54576294
436	17.41945282
437	17.34024286
438	17.28097716
439	17.17535701
440	17.12288047
441	17.10995322
442	17.02072561
443	16.91370675
444	16.82090107
445	16.80520928
446	16.67877183
447	16.65591425
448	16.62548478
449	16.54034761
450	16.43811979
451	16.34298848
452	16.28662173
453	16.19912356
454	16.11686621
455	16.00670074
456	15.95091467
457	15.93946868
458	15.92895596
459	15.85545627
460	15.82357513
461	15.73413645
462	15.64116206
463	15.57027184
464	15.48086953
465	15.38910699
466	15.32248254
467	15.28301277
468	15.24657405
469	15.23374048
470	15.2096278
471	15.19641642
472	15.11154675
473	15.05649372
474	15.04626079
475	15.03754152
476	14.93145988
477	14.82118114
478	14.80333926
479	14.70652583
480	14.63839883
481	14.5956943
482	14.51520706
483	14.49913515
484	14.43049129
485	14.31158801
486	14.29669187
487	14.22806702
488	14.13864367
489	14.08754727
490	14.07717945
491	14.06674261
492	14.05669055
493	13.98873845
494	13.95138566
495	13.94180857
496	13.87503016
497	13.83823208
498	13.74266861
499	13.66847895
