model,r2,mae,rmse
stack,0.9422632973677049,126.32262954614772,257.7464419368972
catboost,0.937813937664032,122.19113159179688,267.4934432607648
xgboost,0.918289065361023,111.43041229248047,306.62452863803964
rf,0.9096862077713013,122.4625015258789,322.36191326675055
mlp,0.7931507229804993,315.2676086425781,487.8582978181267
cnn,-3.659303665161133,2052.9208984375,2315.4063358296316
