model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
xgboost,0.919290828704834,0.05211868869808696,111.43039932250977,44.84639856772225,291.5226016199483,106.26130506613697
catboost,0.938125249540839,0.04495125149625992,122.19113157087877,48.013968355964344,254.23705980831386,92.98026805310064
rf,0.9104162484559699,0.04939943588164172,122.46249930229187,40.37603745611853,312.03359042844113,90.50021517488892
stack,0.9425391138635048,0.0444014294692446,126.32262954614771,44.0591518505649,244.21743326035843,92.13491210483612
mlp,0.793483352877943,0.08709521307607039,315.2676281196716,54.31020868215428,478.73683829004113,104.98073123822739
cnn,-3.6696932792663572,0.18291839881859845,2052.9207763671875,39.497660201486525,2315.0908910214202,42.726840358965866
